sponsor_name,ein,city,state,ntee_code,classification,propublica_url,search_term_found,collected_at,website,email,phone,contact_person,mission_statement,annual_revenue,assets,outreach_status,email_sent,response_received,sponsorship_amount,notes,follow_up_date,priority_level,email_source,all_emails_found,estimated_emails,contact_pages_found,enhanced_at
Ford Foundation,131684331,New York,NY,T21,,https://projects.propublica.org/nonprofits/organizations/131684331,foundation,2025-10-17 17:56:47,https://fordfoundation.org,info@fordfoundation.org,,,,,,not_contacted,no,no,,,,high,estimated,,"info@fordfoundation.org,contact@fordfoundation.org,hello@fordfoundation.org,inquiries@fordfoundation.org,development@fordfoundation.org,admin@fordfoundation.org",5,2025-10-22T18:02:17.115900
Novo Foundation,470824753,Hurley,NY,T99,,https://projects.propublica.org/nonprofits/organizations/470824753,foundation,2025-10-17 17:56:47,https://novo.org,info@novo.org,,,,,,not_contacted,no,no,,,,high,estimated,,"info@novo.org,contact@novo.org,hello@novo.org,inquiries@novo.org,development@novo.org,admin@novo.org",5,2025-10-22T18:02:26.951157
Druckenmiller Foundation,133735187,New York,NY,,,https://projects.propublica.org/nonprofits/organizations/133735187,foundation,2025-10-17 17:56:47,,info@druckenmiller.org,,,,,,not_contacted,no,no,,,,high,estimated,,"info@druckenmiller.org,contact@druckenmiller.org,info@druckenmiller.com,contact@druckenmiller.com,info@druckenmillerfoundation.org,contact@druckenmillerfoundation.org",0,2025-10-22T18:02:30.128654
Rockefeller Foundation,131659629,New York,NY,,,https://projects.propublica.org/nonprofits/organizations/131659629,foundation,2025-10-17 17:56:47,https://rockefellerfoundation.org,info@rockefellerfoundation.org,,,,,,not_contacted,no,no,,,,high,estimated,,"info@rockefellerfoundation.org,contact@rockefellerfoundation.org,hello@rockefellerfoundation.org,inquiries@rockefellerfoundation.org,development@rockefellerfoundation.org,admin@rockefellerfoundation.org",5,2025-10-22T18:02:42.544306
Citi Foundation,133781879,New York,NY,T21,,https://projects.propublica.org/nonprofits/organizations/133781879,foundation,2025-10-17 17:56:47,,info@citi.org,,,,,,not_contacted,no,no,,,,high,estimated,,"info@citi.org,contact@citi.org,info@citi.com,contact@citi.com,info@citifoundation.org,contact@citifoundation.org",0,2025-10-22T18:03:26.810561
Gray Foundation,471408100,Albany,NY,T22,,https://projects.propublica.org/nonprofits/organizations/471408100,foundation,2025-10-17 17:56:47,https://gray.com,info@gray.com,,,,,,not_contacted,no,no,,,,high,estimated,,"info@gray.com,contact@gray.com,hello@gray.com,inquiries@gray.com,development@gray.com,admin@gray.com",5,2025-10-22T18:03:47.237306
Starr Foundation,136151545,New York,NY,T22,,https://projects.propublica.org/nonprofits/organizations/136151545,foundation,2025-10-17 17:56:47,https://starr.com,marketing@starrcompanies.com,,,,,,not_contacted,no,no,,,,high,harvested,"marketing@starrcompanies.com,claims@starrcompanies.com,loss.history@starrcompanies.com,public.relations@starrcompanies.com",,5,2025-10-22T18:04:01.484340
Nhp Foundation,521636004,New York,NY,L200,,https://projects.propublica.org/nonprofits/organizations/521636004,foundation,2025-10-17 17:56:47,https://nhpfoundation.org,info@nhpfoundation.org,,,,,,not_contacted,no,no,,,,high,estimated,,"info@nhpfoundation.org,contact@nhpfoundation.org,hello@nhpfoundation.org,inquiries@nhpfoundation.org,development@nhpfoundation.org,admin@nhpfoundation.org",5,2025-10-22T18:04:13.994523
Tiger Foundation,133555671,New York,NY,,,https://projects.propublica.org/nonprofits/organizations/133555671,foundation,2025-10-17 17:56:47,https://tiger.com,info@tiger.com,,,,,,not_contacted,no,no,,,,high,estimated,,"info@tiger.com,contact@tiger.com,hello@tiger.com,inquiries@tiger.com,development@tiger.com,admin@tiger.com",2,2025-10-22T18:04:23.865941
Uniswap Foundation,883087770,New York,NY,R12,,https://projects.propublica.org/nonprofits/organizations/883087770,foundation,2025-10-17 17:56:47,https://uniswap.org,info@uniswap.org,,,,,,not_contacted,no,no,,,,high,estimated,,"info@uniswap.org,contact@uniswap.org,hello@uniswap.org,inquiries@uniswap.org,development@uniswap.org,admin@uniswap.org",0,2025-10-22T18:04:27.718325
Bingle Foundation,853658614,Saratoga Spgs,NY,T20,,https://projects.propublica.org/nonprofits/organizations/853658614,foundation,2025-10-17 17:56:47,,info@bingle.org,,,,,,not_contacted,no,no,,,,high,estimated,,"info@bingle.org,contact@bingle.org,info@bingle.com,contact@bingle.com,info@binglefoundation.org,contact@binglefoundation.org",0,2025-10-22T18:04:50.722273
Arcus Foundation,383332791,New York,NY,B82Z,,https://projects.propublica.org/nonprofits/organizations/383332791,foundation,2025-10-17 17:56:47,https://arcusfoundation.org,info@arcusfoundation.org,,,,,,not_contacted,no,no,,,,high,estimated,,"info@arcusfoundation.org,contact@arcusfoundation.org,hello@arcusfoundation.org,inquiries@arcusfoundation.org,development@arcusfoundation.org,admin@arcusfoundation.org",5,2025-10-22T18:05:08.195401
Shalem Foundation,133941865,New York,NY,I20,,https://projects.propublica.org/nonprofits/organizations/133941865,foundation,2025-10-17 17:56:47,https://shalem.org,info@shalem.orgcontact,,,,,,not_contacted,no,no,,,,high,harvested,"registrarmichelle@shalem.org,administratorkaty@shalem.org,coordinatorardonna@shalem.org,info@shalem.orgcontact,directormargaret@shalem.org,bookkeeperstacy@shalem.org,learningjackson@shalem.org,administrationchris@shalem.org,info@shalem.orgconnect",,3,2025-10-22T18:05:14.649250
