sponsor_name,ein,city,state,ntee_code,classification,propublica_url,search_term_found,collected_at,website,email,phone,contact_person,mission_statement,annual_revenue,assets,outreach_status,email_sent,response_received,sponsorship_amount,notes,follow_up_date,priority_level,alignment_score,potential_level,donation_history,template_number,template_type
Imagine Performing Arts Fund,874553020,Dalton,PA,A60,,https://projects.propublica.org/nonprofits/organizations/874553020,performing arts,2025-10-17 18:01:40,,,,,,,,not_contacted,no,no,,,,high,32.05882352941177,Medium,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Arts Equity & Education Fund,823746641,Newtown Sq,PA,T20,,https://projects.propublica.org/nonprofits/organizations/823746641,arts education,2025-10-17 18:01:37,,,,,,,,not_contacted,no,no,,,,high,32.05882352941177,Medium,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Public Employees Federation Public Employees Benefits Fund,237357996,Albany,NY,,,https://projects.propublica.org/nonprofits/organizations/237357996,public,2025-10-17 17:57:21,,,,,,,,not_contacted,no,no,,,,high,27.058823529411768,Medium,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Artis Contemporary Israeli Art Fund Inc,264184988,New York,NY,A23,,https://projects.propublica.org/nonprofits/organizations/264184988,arts,2025-10-17 17:56:56,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Cannon Educational Fund,526223026,Buffalo,NY,T70,,https://projects.propublica.org/nonprofits/organizations/526223026,educational,2025-10-17 17:57:08,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Supermajority Education Fund,843745987,New York,NY,R24,,https://projects.propublica.org/nonprofits/organizations/843745987,education,2025-10-17 17:57:07,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Food Education Fund,263497284,New York,NY,B82,,https://projects.propublica.org/nonprofits/organizations/263497284,education,2025-10-17 17:57:07,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Kenya Education Fund,542056227,New York,NY,P80,,https://projects.propublica.org/nonprofits/organizations/542056227,education,2025-10-17 17:57:07,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Giving Beck Fund,823497666,Ormond Beach,FL,P50,,https://projects.propublica.org/nonprofits/organizations/823497666,giving,2025-10-17 18:00:53,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Gescheidt Educational Fund,131739900,Pleasantville,NY,,,https://projects.propublica.org/nonprofits/organizations/131739900,educational,2025-10-17 17:57:08,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
