sponsor_name,ein,city,state,ntee_code,classification,propublica_url,search_term_found,collected_at,website,email,phone,contact_person,mission_statement,annual_revenue,assets,outreach_status,email_sent,response_received,sponsorship_amount,notes,follow_up_date,priority_level,alignment_score,potential_level,donation_history,template_number,template_type,email_source,all_emails_found,estimated_emails,contact_pages_found,enhanced_at
Imagine Performing Arts Fund,874553020,Dalton,PA,A60,,https://projects.propublica.org/nonprofits/organizations/874553020,performing arts,2025-10-17 18:01:40,https://imagineperformingarts.com,info@imagineperformingarts.com,,,,,,not_contacted,no,no,,,,high,32.05882352941177,Medium,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor,estimated,,"info@imagineperformingarts.com,contact@imagineperformingarts.com,hello@imagineperformingarts.com,inquiries@imagineperformingarts.com,development@imagineperformingarts.com,admin@imagineperformingarts.com",2,2025-10-22T17:59:45.720157
Arts Equity & Education Fund,823746641,Newtown Sq,PA,T20,,https://projects.propublica.org/nonprofits/organizations/823746641,arts education,2025-10-17 18:01:37,,info@artsequityeducation.org,,,,,,not_contacted,no,no,,,,high,32.05882352941177,Medium,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor,estimated,,"info@artsequityeducation.org,contact@artsequityeducation.org,info@artsequityeducation.com,contact@artsequityeducation.com,info@artsequityeducationfoundation.org,contact@artsequityeducationfoundation.org",0,2025-10-22T17:59:51.961513
Public Employees Federation Public Employees Benefits Fund,237357996,Albany,NY,,,https://projects.propublica.org/nonprofits/organizations/237357996,public,2025-10-17 17:57:21,,info@publicemployeesfederationpublicemployeesbenefits.org,,,,,,not_contacted,no,no,,,,high,27.058823529411768,Medium,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor,estimated,,"info@publicemployeesfederationpublicemployeesbenefits.org,contact@publicemployeesfederationpublicemployeesbenefits.org,info@publicemployeesfederationpublicemployeesbenefits.com,contact@publicemployeesfederationpublicemployeesbenefits.com,info@publicemployeesfederationpublicemployeesbenefitsfoundation.org,contact@publicemployeesfederationpublicemployeesbenefitsfoundation.org",0,2025-10-22T17:59:54.603849
Artis Contemporary Israeli Art Fund Inc,264184988,New York,NY,A23,,https://projects.propublica.org/nonprofits/organizations/264184988,arts,2025-10-17 17:56:56,,info@artisntemporaryisraeliart.org,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor,estimated,,"info@artisntemporaryisraeliart.org,contact@artisntemporaryisraeliart.org,info@artisntemporaryisraeliart.com,contact@artisntemporaryisraeliart.com,info@artisntemporaryisraeliartfoundation.org,contact@artisntemporaryisraeliartfoundation.org",0,2025-10-22T17:59:57.401204
Cannon Educational Fund,526223026,Buffalo,NY,T70,,https://projects.propublica.org/nonprofits/organizations/526223026,educational,2025-10-17 17:57:08,,info@cannoneducational.org,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor,estimated,,"info@cannoneducational.org,contact@cannoneducational.org,info@cannoneducational.com,contact@cannoneducational.com,info@cannoneducationalfoundation.org,contact@cannoneducationalfoundation.org",0,2025-10-22T18:00:00.032004
Supermajority Education Fund,843745987,New York,NY,R24,,https://projects.propublica.org/nonprofits/organizations/843745987,education,2025-10-17 17:57:07,,info@supermajorityeducation.org,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor,estimated,,"info@supermajorityeducation.org,contact@supermajorityeducation.org,info@supermajorityeducation.com,contact@supermajorityeducation.com,info@supermajorityeducationfoundation.org,contact@supermajorityeducationfoundation.org",0,2025-10-22T18:00:05.568002
Food Education Fund,263497284,New York,NY,B82,,https://projects.propublica.org/nonprofits/organizations/263497284,education,2025-10-17 17:57:07,https://foodeducation.com,info@foodeducation.com,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor,estimated,,"info@foodeducation.com,contact@foodeducation.com,hello@foodeducation.com,inquiries@foodeducation.com,development@foodeducation.com,admin@foodeducation.com",0,2025-10-22T18:00:08.762533
Kenya Education Fund,542056227,New York,NY,P80,,https://projects.propublica.org/nonprofits/organizations/542056227,education,2025-10-17 17:57:07,https://kenyaeducationfund.org,info@kenyaeducationfund.org,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor,harvested,info@kenyaeducationfund.org,,3,2025-10-22T18:00:24.222555
Giving Beck Fund,823497666,Ormond Beach,FL,P50,,https://projects.propublica.org/nonprofits/organizations/823497666,giving,2025-10-17 18:00:53,,info@givingbeck.org,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor,estimated,,"info@givingbeck.org,contact@givingbeck.org,info@givingbeck.com,contact@givingbeck.com,info@givingbeckfoundation.org,contact@givingbeckfoundation.org",0,2025-10-22T18:00:33.213315
Gescheidt Educational Fund,131739900,Pleasantville,NY,,,https://projects.propublica.org/nonprofits/organizations/131739900,educational,2025-10-17 17:57:08,,info@gescheidteducational.org,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor,estimated,,"info@gescheidteducational.org,contact@gescheidteducational.org,info@gescheidteducational.com,contact@gescheidteducational.com,info@gescheidteducationalfoundation.org,contact@gescheidteducationalfoundation.org",0,2025-10-22T18:00:36.170719
Map Educational Fund,453265404,New York,NY,G40,,https://projects.propublica.org/nonprofits/organizations/453265404,educational,2025-10-17 17:57:08,https://map.org,media@map.org,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor,harvested,"media@map.org,map@map.org",,5,2025-10-22T18:00:56.038625
Sba Scholarship Fund,542184059,New York,NY,B82,,https://projects.propublica.org/nonprofits/organizations/542184059,scholarship,2025-10-17 17:57:15,https://sba.org,info@sba.org,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor,estimated,,"info@sba.org,contact@sba.org,hello@sba.org,inquiries@sba.org,development@sba.org,admin@sba.org",0,2025-10-22T18:01:00.212851
Beatitude Scholarship Fund,933352162,Sprngfld Gdns,NY,O55,,https://projects.propublica.org/nonprofits/organizations/933352162,scholarship,2025-10-17 17:57:15,,info@beatitudescholarship.org,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor,estimated,,"info@beatitudescholarship.org,contact@beatitudescholarship.org,info@beatitudescholarship.com,contact@beatitudescholarship.com,info@beatitudescholarshipfoundation.org,contact@beatitudescholarshipfoundation.org",0,2025-10-22T18:01:12.732869
Flavin Scholarship Fund,161603208,Rochester,NY,B82,,https://projects.propublica.org/nonprofits/organizations/161603208,scholarship,2025-10-17 17:57:15,,info@flavinscholarship.org,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor,estimated,,"info@flavinscholarship.org,contact@flavinscholarship.org,info@flavinscholarship.com,contact@flavinscholarship.com,info@flavinscholarshipfoundation.org,contact@flavinscholarshipfoundation.org",0,2025-10-22T18:01:15.056518
Asum Scholarship Fund,465377060,Bronx,NY,B82,,https://projects.propublica.org/nonprofits/organizations/465377060,scholarship,2025-10-17 17:57:15,,info@asumscholarship.org,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor,estimated,,"info@asumscholarship.org,contact@asumscholarship.org,info@asumscholarship.com,contact@asumscholarship.com,info@asumscholarshipfoundation.org,contact@asumscholarshipfoundation.org",0,2025-10-22T18:01:18.421630
Adb Scholarship Fund,880849655,Binghamton,NY,B82,,https://projects.propublica.org/nonprofits/organizations/880849655,scholarship,2025-10-17 17:57:15,https://adbscholarship.org,info@adbscholarship.org,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor,estimated,,"info@adbscholarship.org,contact@adbscholarship.org,hello@adbscholarship.org,inquiries@adbscholarship.org,development@adbscholarship.org,admin@adbscholarship.org",1,2025-10-22T18:01:22.365793
Nonprofit Finance Fund,133238657,New York,NY,S500,,https://projects.propublica.org/nonprofits/organizations/133238657,nonprofit,2025-10-17 17:57:23,https://nonprofit.org,info@nonprofit.org,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor,estimated,,"info@nonprofit.org,contact@nonprofit.org,hello@nonprofit.org,inquiries@nonprofit.org,development@nonprofit.org,admin@nonprofit.org",0,2025-10-22T18:01:45.645777
