sponsor_name,ein,city,state,ntee_code,classification,propublica_url,search_term_found,collected_at,website,email,phone,contact_person,mission_statement,annual_revenue,assets,outreach_status,email_sent,response_received,sponsorship_amount,notes,follow_up_date,priority_level
Ford Foundation,131684331,New York,NY,T21,,https://projects.propublica.org/nonprofits/organizations/131684331,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Novo Foundation,470824753,Hurley,NY,T99,,https://projects.propublica.org/nonprofits/organizations/470824753,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Druckenmiller Foundation,133735187,New York,NY,,,https://projects.propublica.org/nonprofits/organizations/133735187,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Rockefeller Foundation,131659629,New York,NY,,,https://projects.propublica.org/nonprofits/organizations/131659629,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Citi Foundation,133781879,New York,NY,T21,,https://projects.propublica.org/nonprofits/organizations/133781879,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Gray Foundation,471408100,Albany,NY,T22,,https://projects.propublica.org/nonprofits/organizations/471408100,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Starr Foundation,136151545,New York,NY,T22,,https://projects.propublica.org/nonprofits/organizations/136151545,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Nhp Foundation,521636004,New York,NY,L200,,https://projects.propublica.org/nonprofits/organizations/521636004,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Tiger Foundation,133555671,New York,NY,,,https://projects.propublica.org/nonprofits/organizations/133555671,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Uniswap Foundation,883087770,New York,NY,R12,,https://projects.propublica.org/nonprofits/organizations/883087770,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Bingle Foundation,853658614,Saratoga Spgs,NY,T20,,https://projects.propublica.org/nonprofits/organizations/853658614,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Arcus Foundation,383332791,New York,NY,B82Z,,https://projects.propublica.org/nonprofits/organizations/383332791,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Shalem Foundation,133941865,New York,NY,I20,,https://projects.propublica.org/nonprofits/organizations/133941865,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Pinkerton Foundation,136206624,New York,NY,,,https://projects.propublica.org/nonprofits/organizations/136206624,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Avaaz Foundation,205050267,New York,NY,R03,,https://projects.propublica.org/nonprofits/organizations/205050267,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Metlife Foundation,132878224,New York,NY,,,https://projects.propublica.org/nonprofits/organizations/132878224,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Manton Foundation,133636372,New York,NY,,,https://projects.propublica.org/nonprofits/organizations/133636372,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Alphadyne Foundation,851674725,New York,NY,T20,,https://projects.propublica.org/nonprofits/organizations/851674725,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Woodlawn Foundation,133055729,New Rochelle,NY,X220,,https://projects.propublica.org/nonprofits/organizations/133055729,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Adirondack Foundation,161535724,Lake Placid,NY,T310,,https://projects.propublica.org/nonprofits/organizations/161535724,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Mulago Foundation,946182697,New York,NY,T20,,https://projects.propublica.org/nonprofits/organizations/946182697,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Altman Foundation,131623879,New York,NY,,,https://projects.propublica.org/nonprofits/organizations/131623879,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Burrows Foundation,223059155,Little Falls,NY,B82,,https://projects.propublica.org/nonprofits/organizations/223059155,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Moodys Foundation,134200757,New York,NY,T21,,https://projects.propublica.org/nonprofits/organizations/134200757,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Tent Foundation,472761733,New York,NY,T20,,https://projects.propublica.org/nonprofits/organizations/472761733,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high
Underground Foundations,815137417,Saugerties,NY,C60,,https://projects.propublica.org/nonprofits/organizations/815137417,foundations,2025-10-17 17:56:49,,,,,,,,not_contacted,no,no,,,,high
Jewish Foundations,832669071,Suffern,NY,X30,,https://projects.propublica.org/nonprofits/organizations/832669071,foundations,2025-10-17 17:56:49,,,,,,,,not_contacted,no,no,,,,high
Ayco Charitable Foundation,141782466,Cohoes,NY,T300,,https://projects.propublica.org/nonprofits/organizations/141782466,charitable foundation,2025-10-17 17:56:50,,,,,,,,not_contacted,no,no,,,,high
Iag Charitable Foundation,934406877,Albany,NY,T22,,https://projects.propublica.org/nonprofits/organizations/934406877,charitable foundation,2025-10-17 17:56:50,,,,,,,,not_contacted,no,no,,,,high
Blackstone Charitable Foundation,260462996,New York,NY,T21,,https://projects.propublica.org/nonprofits/organizations/260462996,charitable foundation,2025-10-17 17:56:50,,,,,,,,not_contacted,no,no,,,,high
Hourglass Charitable Foundation,872162781,New York,NY,T20,,https://projects.propublica.org/nonprofits/organizations/872162781,charitable foundation,2025-10-17 17:56:50,,,,,,,,not_contacted,no,no,,,,high
